method,panel_size,classifier,acc_mean,acc_std,f1_mean,f1_std,mcc_mean,mcc_std,roc_auc_mean,roc_auc_std
05a LR,5,Random Forest,0.6805346534653466,0.022322339362711413,0.6601683287264136,0.02721654451023594,0.4951936450519633,0.03553095119673612,0.8027517463746003,0.023319202007830223
05a LR,5,XGBoost,0.6924554455445544,0.026595496964308633,0.6712568562738866,0.026008323345678735,0.5157931799335274,0.043173811813212386,0.8062381878895604,0.024325893580416348
05a LR,5,Logistic Reg,0.6904752475247524,0.0253406862064542,0.6695474242054835,0.026340145272934087,0.5115523654331747,0.04127378052288528,0.8171502396323979,0.02569731705002556
05a LR,5,SVM (RBF),0.6844950495049504,0.023295378076803146,0.6654823394151042,0.020034894729174683,0.5035794840681764,0.038404611436862,0.7981563883471334,0.02506515783908481
05a LR,5,SVM (Linear),0.6864752475247524,0.02433756010127488,0.6659389234058339,0.02292644188651851,0.5107019601292717,0.03619548202053312,0.8158093910007296,0.02432539244644301
05a LR,5,KNN,0.5575841584158416,0.05334734319144419,0.5292880277740568,0.061379761292339546,0.29565076555284864,0.09126486266564876,0.6725253180436742,0.053390997171622975
05a LR,5,Naive Bayes,0.6825148514851485,0.024552507108904567,0.6644306280576167,0.0267186906388831,0.49869481533924886,0.03920777542064366,0.8148243234095084,0.03230811626441037
05a LR,5,Grad Boosting,0.6924356435643564,0.022015812730741453,0.6724562203081421,0.020426718588890953,0.5157482888486893,0.035823569717530965,0.7995353082579809,0.026340637507212286
05a LR,5,AdaBoost,0.6924158415841584,0.023180634789246538,0.6718473748395063,0.023375482350729254,0.5194554165814397,0.038279486809779356,0.8107842183288907,0.024100587886992212
05a LR,5,MLP,0.6785544554455445,0.020618378634032382,0.6590911600243498,0.01990255851751981,0.4945883027233293,0.02987719156472067,0.8092851460501326,0.028761664058599572
05a LR,10,Random Forest,0.748039603960396,0.0071040276672566125,0.7436824279117197,0.007481074633604379,0.6044188029447028,0.01133313264131087,0.8840303611635415,0.02110364173364402
05a LR,10,XGBoost,0.74,0.02307249372456162,0.7386282846870185,0.022566863466796927,0.5929388421039767,0.037093310700039614,0.8933584796754218,0.01687121946433038
05a LR,10,Logistic Reg,0.7877623762376238,0.022578564813997712,0.7850505325599744,0.02381482148200325,0.6682938041625669,0.034111980822867954,0.9211638461284959,0.012506906820607571
05a LR,10,SVM (RBF),0.7917029702970297,0.02042047944555167,0.7845286246074676,0.01786782129726342,0.6740300510292367,0.03243529584206643,0.9011032091263764,0.01835992260842687
05a LR,10,SVM (Linear),0.7798613861386139,0.029721156148963895,0.7768334944345752,0.029582890400114095,0.6566747307784804,0.045247647058547474,0.9150212213950077,0.015456212361362317
05a LR,10,KNN,0.7202376237623762,0.033356410663318785,0.7048364036727774,0.034998045408971376,0.5630747260198995,0.053220735480256263,0.8482557774954842,0.03420348105314493
05a LR,10,Naive Bayes,0.6985940594059407,0.1526992876338264,0.6938861173312635,0.16077663210454674,0.5778205426642782,0.14539598799527548,0.8842805344099617,0.02052086689506451
05a LR,10,Grad Boosting,0.7400990099009901,0.016714795065479356,0.7381839359546969,0.014471246286375517,0.595706483860374,0.02375715305331718,0.870487493256529,0.017005185820381057
05a LR,10,AdaBoost,0.753980198019802,0.024438435580338456,0.7511125043104462,0.024609304864992604,0.6157351198030268,0.036646654269216726,0.8829945206056419,0.00832331020800922
05a LR,10,MLP,0.7916633663366337,0.019819437849122493,0.7800778623201423,0.0211332838876874,0.6753148966132034,0.030668956804651253,0.9109030683120203,0.013978923492306474
05a LR,15,Random Forest,0.8115643564356436,0.04951692528437791,0.8082441166161253,0.04893154009339011,0.707724692157752,0.07904356078329346,0.936974084807132,0.01962745555861903
05a LR,15,XGBoost,0.8115445544554456,0.024789327022768076,0.8095378552626873,0.02449833871959482,0.7069834316424138,0.038583494634148445,0.9263294836800776,0.01624977821342062
05a LR,15,Logistic Reg,0.8294059405940594,0.027351832352977452,0.8273729140878319,0.025160220588701612,0.7369151228397399,0.042076004410494375,0.9495049821798907,0.015013104065887345
05a LR,15,SVM (RBF),0.8314059405940594,0.022216939323467924,0.8254585795507541,0.023286368896468117,0.7398149559688479,0.03535118857808264,0.9485387171408716,0.016768331064579315
05a LR,15,SVM (Linear),0.8135643564356435,0.04720976473241101,0.8127282747118822,0.04510818528584718,0.712549241997176,0.07323324286218062,0.9429368520101775,0.017238102710477463
05a LR,15,KNN,0.7320990099009901,0.017278450409231174,0.7233793646069502,0.00987044556960562,0.5794931142436353,0.02836279529124706,0.8873396269744607,0.018426599619555516
05a LR,15,Naive Bayes,0.7203762376237625,0.0915840278297169,0.7227154811631483,0.09234727371420318,0.603811178279065,0.08457960528785334,0.9061547416259591,0.011171770643828934
05a LR,15,Grad Boosting,0.7876633663366337,0.02168218271642176,0.7866320244723407,0.019654834676584663,0.6729896338192544,0.03095563568466942,0.915883708474681,0.012710459857232029
05a LR,15,AdaBoost,0.8016633663366337,0.026098258676969285,0.7997378005553362,0.025452718841950727,0.6944022263525509,0.04401881969095303,0.9176121121086263,0.012626299586080705
05a LR,15,MLP,0.7956633663366337,0.04261358533533467,0.7873398220497079,0.04640426755468741,0.6819763081514292,0.07071134430711401,0.9249890048259847,0.02490872495474804
05a LR,20,Random Forest,0.8313861386138613,0.016219502082950664,0.8265982859628634,0.01262558179948444,0.7377478564208075,0.02646905775240847,0.9538357571376064,0.01787407274343533
05a LR,20,XGBoost,0.8373663366336634,0.025176378109339717,0.8350472305348063,0.02563906652369873,0.7469074913994025,0.03963400143841351,0.9428997663835496,0.01724674482486137
05a LR,20,Logistic Reg,0.861128712871287,0.03306204936071861,0.8602202135279203,0.03315680514338099,0.7854552339798053,0.051470271227036596,0.963048611952732,0.016121875677150586
05a LR,20,SVM (RBF),0.8731089108910892,0.03487541932438467,0.8711298161741228,0.0348854481481885,0.8047834566314356,0.05353058570400794,0.9615128774272508,0.017288447101318292
05a LR,20,SVM (Linear),0.8532079207920791,0.03439664950410325,0.8524997313810235,0.034920670713073663,0.7722151708278698,0.05297925159240697,0.9585887356926586,0.016488092812034956
05a LR,20,KNN,0.7818217821782179,0.029565994397338646,0.7716931265018819,0.030916457985009877,0.6649105707773565,0.04747127786844033,0.913459778621603,0.020097624360571918
05a LR,20,Naive Bayes,0.7402178217821783,0.06687279703464587,0.7457036130082972,0.06300303797980261,0.6288895200845496,0.06759709807551086,0.9128046199497988,0.017266693678695624
05a LR,20,Grad Boosting,0.8155049504950496,0.023712455813967036,0.8129996182384224,0.02402581055433794,0.7127447138802733,0.03575383655131085,0.9282614751080682,0.010873056632039378
05a LR,20,AdaBoost,0.8532871287128712,0.036449222609546965,0.8525128304257488,0.03674258623301998,0.7744242307267372,0.05508947312293707,0.9381556334122992,0.011936412060025322
05a LR,20,MLP,0.8433069306930692,0.05203166146420858,0.8403450941628823,0.054282560334507075,0.7570051508025644,0.08382951754383128,0.9487224941045488,0.027690893221008973
05a LR,25,Random Forest,0.882950495049505,0.01573832684466252,0.8794507530713442,0.017521845737575144,0.8190982651653009,0.02449224964620006,0.9700132567856716,0.008871737665182258
05a LR,25,XGBoost,0.8571287128712871,0.010287505115137069,0.8555565483733292,0.009914589722412543,0.7783914592617712,0.0166397695032098,0.9583290522724314,0.007850319680919536
05a LR,25,Logistic Reg,0.875029702970297,0.018179943402643523,0.8736701305082466,0.01932913789932094,0.8060175543589242,0.028337339834686334,0.9746986066551837,0.0085550100869927
05a LR,25,SVM (RBF),0.8829900990099009,0.016745545461836424,0.8800278628355283,0.016526125405430796,0.8181219796778822,0.025840147318000578,0.9740703346783552,0.009461097648933495
