panel,n_snps,classifier,acc,f1,mcc,roc_auc
shi_36,29,RF,0.6806336633663367,0.6806154819833894,0.5031702889374057,0.8267502573709518
shi_36,29,XGB,0.6586732673267327,0.6587169406697375,0.46724534931536743,0.8212356122571187
shi_36,29,LR,0.7004752475247524,0.6992473533005026,0.5358896847743793,0.8469069557659024
shi_36,29,SVM_RBF,0.6805940594059405,0.6755391813080434,0.5076817778564254,0.8364437189900322
shi_36,29,SVM_Lin,0.6785940594059406,0.679197527563973,0.49956611282962077,0.8351041044018845
shi_36,29,GBM,0.6528712871287128,0.6546285930327653,0.456130547399081,0.825619286480646
shi_59,49,RF,0.6845544554455445,0.6846494513035668,0.5090330346607554,0.8343654191710325
shi_59,49,XGB,0.6528118811881188,0.6539314542092933,0.4589908779181379,0.8174155019512795
shi_59,49,LR,0.7083762376237623,0.7092875636403486,0.5451162988050835,0.8609604175981913
shi_59,49,SVM_RBF,0.7242376237623762,0.7223252990774456,0.5724528386581631,0.8559529920732096
shi_59,49,SVM_Lin,0.7004158415841584,0.7006803779376223,0.5337677484039879,0.8565542409097789
shi_59,49,GBM,0.6488514851485148,0.6509998326477555,0.449817191258698,0.8211726540734474
shi_98,80,RF,0.7084158415841585,0.7070372374708109,0.5482080201729492,0.8596069401609597
shi_98,80,XGB,0.6925544554455445,0.691174199407955,0.523219606659387,0.8529025316220995
shi_98,80,LR,0.7341782178217822,0.7324834505714326,0.5904090135807258,0.8861077698700794
shi_98,80,SVM_RBF,0.7757623762376238,0.7743722136612385,0.6541266325105602,0.8952121462175604
shi_98,80,SVM_Lin,0.7202772277227723,0.7187943426749163,0.5680215466783108,0.8806891558382823
shi_98,80,GBM,0.6766534653465347,0.6768778494499844,0.4971582499373001,0.8487938100994612
shi_142,116,RF,0.742059405940594,0.7418087411633909,0.5996066447280961,0.880921206681645
shi_142,116,XGB,0.7162574257425742,0.7162419435674149,0.5589960987215377,0.8647163695743565
shi_142,116,LR,0.7678415841584159,0.7675596725912137,0.6397617757986552,0.8972702152822445
shi_142,116,SVM_RBF,0.7856633663366337,0.7849831506596935,0.668030204821221,0.9087027585657864
shi_142,116,SVM_Lin,0.7499207920792079,0.7493374539026447,0.61259343208072,0.8923898882410806
shi_142,116,GBM,0.6924356435643564,0.6936647536329393,0.5205568117140464,0.8585882020679627
cao_19,14,RF,0.7876633663366337,0.7861716470038591,0.6714061416753238,0.9186849803623852
cao_19,14,XGB,0.7877029702970297,0.7869467256538878,0.6707179050618655,0.9118093274227694
cao_19,14,LR,0.8193861386138614,0.819013231259196,0.718756278599738,0.9428199582385005
cao_19,14,SVM_RBF,0.8094257425742575,0.8080876216675064,0.7032525786362538,0.9357694455618877
cao_19,14,SVM_Lin,0.8134653465346535,0.8128794303066693,0.7094195698742133,0.9390648658293678
cao_19,14,GBM,0.7956237623762377,0.7956400148108648,0.6815684666425985,0.9271361125640738
cai_eas34,34,RF,0.9285544554455445,0.9283860469735679,0.8893982554024253,0.9878252852361395
cai_eas34,34,XGB,0.9245544554455446,0.9243825766551351,0.8835038079388005,0.9886321876976062
cai_eas34,34,LR,0.9344554455445545,0.9343023197517898,0.8988439858912229,0.9906833498071579
cai_eas34,34,SVM_RBF,0.9464158415841585,0.9463572840764568,0.9174179964693565,0.9908970716952392
cai_eas34,34,SVM_Lin,0.9186138613861387,0.9184329249776818,0.8744753703370653,0.9883275761876329
cai_eas34,34,GBM,0.9185940594059405,0.9182754515681392,0.8759924761357176,0.9891156346177532
