outer_fold,n_snps,panel,reductor,classifier,acc,f1,mcc,roc_auc
3,50,stat,EN,LR,0.8811881188118812,0.8802502172598675,0.8144563361028008,0.9641626655100297
3,55,fst_stat,EN,LR,0.8910891089108911,0.889574596940695,0.8300621440208324,0.9770584341788119
3,60,fst_stat,EN,SVM_RBF,0.9207920792079208,0.9209059311829083,0.8766803073179165,0.9823598586482144
3,65,stat,EN,SVM_Lin,0.8613861386138614,0.8604408788492068,0.7837448023719669,0.9697778541503954
3,70,fst_stat,EN,SVM_RBF,0.8910891089108911,0.8895815596400322,0.8317117700146699,0.9862527727102864
3,75,fst_stat,EN,SVM_RBF,0.900990099009901,0.9012082358786674,0.846271046479051,0.9900519141667843
3,80,fst_stat,EN,SVM_Lin,0.9108910891089109,0.9113197108429412,0.8618145311477275,0.9887697548102742
3,90,fst_stat,EN,SVM_RBF,0.9405940594059405,0.9405940594059405,0.9075937785910339,0.9938624274580216
3,100,fst_stat,EN,SVM_RBF,0.9207920792079208,0.9212399811409712,0.8765935317657803,0.9938671347011238
4,5,fst_stat,LR,RF,0.68,0.6575843417675101,0.5020453452957664,0.7942464761162028
4,10,stat,EN,SVM_Lin,0.75,0.7445713166144201,0.6043453300609546,0.8964254007943397
4,15,fst_stat,EN,SVM_RBF,0.82,0.8142961711711711,0.728497001786029,0.9356478423406821
4,20,fst_stat,EN,LR,0.87,0.8682148553201184,0.8009839367210337,0.9510108574634755
4,25,fst_stat,EN,SVM_RBF,0.84,0.8399339339339339,0.7521856930085229,0.9343023719456155
4,30,stat,EN,SVM_RBF,0.82,0.8212691595705295,0.7211369017928387,0.9469152042572802
4,35,fst_stat,EN,SVM_RBF,0.88,0.8807831667283722,0.8167572644615025,0.9680908577102261
4,40,fst_stat,EN,RF,0.87,0.8701083206618597,0.7971272232504975,0.9749597176195435
4,45,fst_stat,EN,SVM_RBF,0.9,0.901359989120087,0.846074007827566,0.9807000120059176
4,50,fst_stat,EN,RF,0.83,0.8323391068693294,0.7429342050024361,0.9788325132065093
4,55,fst_stat,EN,SVM_RBF,0.92,0.9205935600672445,0.8779149655260962,0.9853784832220956
4,60,fst_stat,EN,SVM_RBF,0.93,0.9291200397827489,0.8937080455877288,0.9878112205791304
4,65,fst_stat,EN,SVM_RBF,0.94,0.939382682539067,0.9082525789309159,0.9912747055313756
4,70,fst_stat,EN,SVM_RBF,0.93,0.9297737272155877,0.8926953773606066,0.9931426096445386
4,75,fst_stat,EN,SVM_RBF,0.93,0.9297541642822895,0.8912996915939808,0.9937689707544477
4,80,stat,EN,LR,0.93,0.930324362943558,0.8911516923264866,0.9873188342727519
4,90,stat,EN,SVM_RBF,0.93,0.930324362943558,0.8911516923264866,0.9895264694716058
4,100,stat,EN,SVM_RBF,0.94,0.9397972758948369,0.9066432188623881,0.9902140983024434
