n_snps,acc_mean,acc_std,f1_mean,mcc_mean,roc_auc_mean
5,0.6528316831683169,0.05148560548159738,0.6108413749914902,0.4556738930830845,0.7811326308643476
10,0.7400990099009901,0.036462672927366956,0.7330694533444126,0.5953244216534723,0.8917870543236273
15,0.7917227722772278,0.027539137205649065,0.7767425409303172,0.6801699057754458,0.925302831355553
20,0.8254851485148516,0.03501141858634536,0.8201750190361226,0.7303414351181846,0.9468847880398954
25,0.8571089108910892,0.01834522818920465,0.8537740052931475,0.7791173464262856,0.9506819393740781
30,0.863009900990099,0.02635315494604461,0.8605681135004335,0.7875085661498764,0.9645019163540633
35,0.8690693069306932,0.012644149718572473,0.8673488461906397,0.7971857256145709,0.9646464991394117
40,0.8690495049504949,0.04557723751987546,0.8660502133334175,0.7960588928880752,0.9658916719774521
45,0.8928712871287129,0.02355936381089693,0.8912223158497616,0.8345208950841674,0.9730815262857538
50,0.8828316831683167,0.03154017857313205,0.8822301054075536,0.819083134115205,0.969219112300048
55,0.902811881188119,0.012637945827458318,0.9019061314391523,0.8493267469798518,0.9812802224514326
60,0.9127326732673268,0.01888464302501213,0.9121598953193999,0.8650040279194485,0.986730504589929
65,0.9147326732673268,0.033899463276434755,0.9142373302490793,0.8676630025556277,0.9859055428280845
70,0.9285742574257426,0.025616561339900652,0.9279536349478974,0.8897232981271646,0.9916372572336061
75,0.9206534653465347,0.011987887230490461,0.9202874378745761,0.8769434984580142,0.9916271819542987
80,0.9345148514851486,0.016611784290555542,0.9345731938328055,0.8987082145550417,0.9912830105210594
90,0.9384752475247524,0.019119373322149982,0.9384085389255408,0.9047645285644373,0.9912894970038876
100,0.9365148514851486,0.020504183165911377,0.9364229911102017,0.9018128296440178,0.9920709676783603
